word	vol_lv	count
976998	3	1552
959931	2	139
878184	1	28
881328	2	161
986826	2	51
1055503	3	368
9526410	3	1758
9527160	3	652
831536	3	385
995242	4	12223
843346	3	359
896862	3	552
957668	1	6
1095275	3	1042
5592343	2	32
7025202	2	199
7409622	2	73
9526906	2	107
883003	3	991
1102959	3	1070
6463464	2	146
6464056	2	112
8119253	2	49
9526411	3	727
9527494	3	876
825976	2	59
963727	3	323
1085664	2	68
832678	3	1307
851676	3	436
885710	2	119
941741	3	649
958700	2	310
1093113	2	231
1100124	2	117
1115874	3	478
838738	2	102
913210	3	1426
1038174	2	73
1122112	2	121
5564948	2	102
8293898	2	83
865511	2	284
1012634	1	24
1078652	2	249
5565202	2	184
850058	3	328
853354	2	183
857503	3	1185
861279	3	570
924786	2	209
934045	2	79
956599	2	276
1009017	1	18
1047226	3	359
1065496	2	98
1071244	2	54
1075582	2	57
1080331	3	401
1096261	2	154
1097280	2	105
1135504	2	90
5584027	3	721
5585735	3	548
5588666	3	647
980375	1	11
1079223	2	250
971325	3	338
1076002	1	12
1094585	2	99
1095926	1	28
1099058	2	142
1068001	2	40
1139471	2	301
5591538	2	194
860703	2	253
861272	3	1222
862070	2	229
863506	2	303
897954	3	907
911311	2	254
912817	2	152
913490	3	422
925626	3	904
932761	2	149
945611	2	207
954424	2	84
967144	2	123
1067779	2	233
1101980	2	248
1125382	2	203
1125391	2	143
12810422	2	315
15973034	2	50
1019643	3	320
842423	2	82
845622	3	392
869573	2	208
877358	2	222
886481	2	274
902194	2	107
912949	2	127
923208	2	212
937626	3	659
949935	2	92
962185	3	317
989244	1	9
1007073	2	92
1009476	2	109
1014314	2	87
1039156	3	1681
1055412	3	355
1074499	3	336
1077658	1	18
1090732	2	107
1106520	2	78
1114263	2	78
1127624	3	781
9487512	1	29
883363	2	80
834842	2	258
983936	3	378
1010259	2	106
1020581	3	677
5566209	2	79
821759	1	17
831815	2	271
853099	2	36
863447	3	1000
868684	1	13
900427	1	17
907038	1	24
915459	2	136
920367	2	143
927191	3	1473
928146	2	101
950871	2	59
962991	2	129
963868	2	286
971490	1	6
977499	3	544
995478	3	437
998912	2	53
999318	2	261
1006573	2	118
1009518	2	40
1014675	2	83
1019247	3	359
1029624	3	1024
1034343	1	17
1048462	3	1055
1049454	1	29
1065910	2	52
1075827	2	100
1079913	2	239
1081111	2	40
1096343	3	690
1119879	3	402
1124579	1	13
1127863	2	73
1133334	1	13
1139819	2	52
5569679	1	9
6039994	2	54
7409969	2	90
9571047	3	468
9883806	1	6
10149597	2	128
13007251	1	23
13007357	2	106
13115515	2	38
13877107	2	36
15716287	1	11
15717023	1	16
15717063	1	14
15717065	1	17
15777806	1	16
15924955	1	12
1126203	2	230
6534166	1	23
852333	1	31
857902	2	76
894439	2	278
956699	1	17
994316	1	11
1005112	1	5
1018818	2	95
13944610	1	22
916122	4	4399
982493	3	576
1048440	3	348
902856	2	210
1119993	2	77
1128163	2	63
1095970	2	49
877455	2	88
897224	2	88
913201	2	177
946193	2	57
957232	2	281
975085	2	112
1039348	2	309
1043064	2	292
5978656	4	4828
6773145	2	41
8020001	3	348
9297156	2	86
909894	3	2262
1092779	1	11
6391063	2	37
1088634	2	203
6514279	2	83
955275	2	68
870980	3	445
931532	2	279
926597	2	90
819549	1	25
898654	1	14
943940	2	69
993796	1	5
1093035	1	7
865797	1	7
1081533	2	106
865178	3	1131
918335	3	949
953104	2	247
960142	2	282
1098708	2	138
9445919	3	471
839346	2	195
868764	3	1297
873627	3	1230
9245417	2	192
5569135	2	52
932340	2	174
1076842	2	73
1115069	2	87
1115358	2	133
13876345	2	55
13986772	1	17
949616	3	597
13158064	2	100
1009662	1	23
7442091	2	77
833754	2	111
866864	2	53
930283	2	154
941856	2	208
1007082	2	223
1010950	2	61
1013807	2	127
1017838	2	163
1018083	2	59
1019479	2	148
1024858	2	134
1067419	2	136
1069788	2	161
