BASKET_ID,words
29673016026,"[845208, 851188, 852317, 857006, 865178, 866871, 869054, 871909, 876504, 878398, 878611, 892503, 904360, 934948, 935796, 937626, 948040, 951590, 961803, 964977, 965267, 966684, 981760, 1007808, 1021394, 1022981, 1026118, 1026748, 1028816, 1068292, 1092948, 1096573, 1116682, 1117039, 1125278, 1133018, 5573314, 6424038, 8090521, 8090537]"
29702107861,"[1082185, 1133018, 12263604]"
30033679010,"[910032, 940223, 1131400, 1139830, 5573314, 8292899, 12673177]"
30035255372,"[887534, 935796, 1021394, 1025650]"
30055128535,[848071]
30530481675,"[865189, 8292899]"
30531768900,"[828891, 865189, 910032, 1128568, 1139830, 7409670]"
30579285478,"[819840, 855672, 858302, 860776, 866950, 880150, 895268, 907466, 908318, 910032, 910291, 912004, 926710, 934639, 938203, 942088, 953134, 970736, 981760, 995785, 997011, 1009343, 1021394, 1026118, 1048462, 1082185, 1092948, 1096573, 1103341, 1128568, 1133018, 6534785, 7167219, 7167249, 8205620, 10204831, 12456256]"
30822894375,"[893362, 919089, 969941, 987311, 1082185, 1109908, 1117039, 6961471]"
30845496966,[945365]
30971645556,"[848071, 863545, 919089, 992395, 1021394, 1026118, 1026748, 1036249, 1082185, 1117039, 1117572]"
31032562751,"[842993, 880150, 912004, 913202, 934639, 937626, 939578, 951590, 961803, 981760, 1009343, 1026118, 1051516, 1082185, 1128206, 1133018, 5573314, 5592585, 5995859, 5996227, 5996354, 8090521, 8292899, 10341402]"
31134761064,"[845208, 866950, 912004, 947798, 951590, 953134, 961803, 962568, 981944, 995785, 1003421, 1022226, 1026118, 1082185, 1095906, 1134414, 5573314, 5995859, 5996227, 5996354, 7167219, 9445508, 9552971, 13003092]"
31336348382,"[825541, 828106, 828935, 834484, 835351, 840361, 863699, 865178, 874972, 899624, 902167, 931996, 940567, 1015280, 1037863, 1070272, 1075170, 1082185, 1083846, 1096573, 1113111, 1117514, 1122342, 1124507, 1127732, 5569230, 6979393, 7149156, 8090521, 8090539, 9445591, 12987851]"
31424178610,"[887534, 927681, 950899, 982138, 1139012, 6919311, 6919436, 7409670]"
31553618494,"[987311, 1082185, 6919311]"
31625241146,[8090521]
31672327465,"[859841, 866162]"
31834173091,"[831628, 835300, 870106, 874966, 913202, 919089, 931996, 937626, 949373, 951412, 964977, 981760, 995785, 1007195, 1009343, 1026118, 1030961, 1033220, 1055155, 1060312, 1082185, 1095825, 1124029, 1133018, 1134414, 1139830, 5572803, 5995859, 5996227, 7167219, 8090537, 9653533, 9653644, 9926758]"
32269506540,"[821761, 856060, 903738, 913159, 925258, 1012941, 1082185, 1107839, 1131400, 1133018, 1133299, 5568197]"
32408336583,"[878996, 962703, 997096, 1004212, 1027292, 1038462, 1075820, 1082185, 1131400, 1134414, 5573314, 8205731, 9488055]"
32408901277,"[958492, 999250, 1068447, 1131400]"
32556529428,"[1082185, 1133018]"
32602332083,"[878996, 1127831, 8205731, 9655286]"
32614181238,"[1038745, 1100975, 5573314, 5979322]"
32730341234,"[1082185, 1106523]"
32835652397,"[857006, 1026118, 1127831]"
